timestamp,code,date,close,atr,iv,poc,adv20,buy_price,stop_loss,target_price,risk_reward,risk_reward_after_slippage,decision,action,suggested_shares,circuit_breaker
2026-03-17 21:35:09,TSLA,2026-03-17 13:34:58,394.48,13.12,0.0003,400.52,55980353.0,385.39,391.26,416.9,,,HOLD_WITH_POSITION,持仓观望,600,False
2026-03-17 21:35:32,NVDA,2026-03-17 13:35:23,183.74,5.87,0.0156,188.32,187069800.0,182.76,182.94,194.29,,20.2,HOLD_WITH_POSITION,持仓观望,2400,False
2026-03-17 21:37:28,0700.HK,2026-03-17 08:08:12,550.0,18.08,,556.22,27670733.0,533.0,532.79,566.0,157.1,13.6,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-17 21:37:40,1810.HK,2026-03-17 08:08:12,35.36,1.24,,33.23,154187130.0,34.6,34.39,36.86,10.8,6.3,HOLD_WITH_POSITION,持仓观望,2000,False
2026-03-18 09:36:52,0700.HK,2026-03-17 01:30:00,550.0,18.08,,556.22,27670728.0,533.0,532.79,566.0,157.1,13.6,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 09:36:59,NVDA,2026-03-17 20:00:00,181.93,5.98,,188.32,195321726.0,175.56,182.67,194.29,,,SELL,清仓,0,False
2026-03-18 09:37:12,1810.HK,2026-03-17 01:30:00,35.36,1.24,,33.23,154187120.0,34.6,34.39,36.86,10.8,6.3,HOLD_WITH_POSITION,持仓观望,2000,False
2026-03-18 09:37:19,TSLA,2026-03-17 20:00:00,399.27,13.37,,400.52,58142152.0,385.39,390.63,416.9,,,HOLD_WITH_POSITION,持仓观望,200,False
2026-03-18 09:57:43,0700.HK,2026-03-18 01:42:10,546.0,17.36,,556.22,26477213.0,533.0,534.6,566.0,,59.7,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 09:57:48,1810.HK,2026-03-18 01:42:18,34.94,1.22,,33.23,148600256.0,34.6,34.21,36.76,5.5,4.0,HOLD_WITH_POSITION,持仓观望,2700,False
2026-03-18 09:57:54,TSLA,2026-03-17 20:00:00,399.27,12.92,0.3993,400.52,58186282.0,385.39,388.03,416.81,,,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 09:58:00,NVDA,2026-03-17 20:00:00,181.93,5.82,0.387,188.32,196174546.0,175.56,183.07,194.29,,,SELL,清仓,0,False
2026-03-18 10:02:39,0700.HK,2026-03-18 01:47:02,546.5,17.36,,556.22,26508151.0,533.0,534.6,566.0,,59.7,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 10:02:44,1810.HK,2026-03-18 01:47:09,35.02,1.22,,33.23,148800462.0,34.6,34.21,36.76,5.5,4.0,HOLD_WITH_POSITION,持仓观望,2400,False
2026-03-18 10:02:49,TSLA,2026-03-17 20:00:00,399.27,12.92,0.3993,400.52,58186282.0,385.39,388.03,416.81,,,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 10:02:55,NVDA,2026-03-17 20:00:00,181.93,5.82,0.387,188.32,196174546.0,175.56,183.07,194.29,,,SELL,清仓,0,False
2026-03-18 10:03:00,QQQ,2026-03-17 20:00:01,603.31,9.78,0.2169,603.77,69397184.0,591.87,592.39,615.59,,12.2,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 10:05:59,601012,2026-03-18 01:50:37,18.76,0.6,,18.94,174348645.0,18.43,18.25,19.43,5.6,3.8,HOLD_WITH_POSITION,持仓观望,3900,False
